transaction_id,date,region,department,category,sub_category,cost_center,budget_amount,actual_amount,forecast_amount,quarter,fiscal_year,variance,variance_percent,forecast_accuracy
FIN-000001,2024-02-21,South,Finance,Administrative,Materials,CC-500,370618.94,101324.8,63209.6,Q4,2023,-269294.14,-72.66,62.38
FIN-000002,2024-06-13,South,Sales,Depreciation,Services,CC-500,207313.84,475291.5,149259.48,Q3,2022,267977.66000000003,129.26,31.4
FIN-000003,2023-04-23,East,Marketing,R&D,Materials,CC-200,28533.38,162833.49,203190.67,Q3,2023,134300.11,470.68,75.22
FIN-000004,2023-04-03,South,Marketing,Operating Expenses,Utilities,CC-200,166790.4,298337.21,516413.18,Q3,2023,131546.81000000003,78.87,26.9
FIN-000005,2023-06-15,Central,R&D,Marketing,Services,CC-200,406448.91,447574.04,284611.92,Q4,2023,41125.130000000005,10.12,63.59
FIN-000006,2022-08-25,West,HR,COGS,Other,CC-100,339750.89,208090.61,432135.56,Q2,2023,-131660.28000000003,-38.75,-7.67
FIN-000007,2023-08-19,Central,Sales,Revenue,Software,CC-400,247700.53,144064.52,124213.58,Q2,2023,-103636.01000000001,-41.84,86.22
FIN-000008,2022-06-29,Central,R&D,COGS,Rent,CC-500,358777.26,474483.84,474008.17,Q4,2023,115706.58000000002,32.25,99.9
FIN-000009,2022-08-17,West,Sales,Marketing,Utilities,CC-400,115833.62,48139.15,389094.6,Q1,2024,-67694.47,-58.44,-608.27
FIN-000010,2022-07-02,South,Finance,COGS,Utilities,CC-500,463686.13,360537.1,179827.29,Q2,2023,-103149.03000000003,-22.25,49.88
FIN-000011,2023-11-28,West,Customer Support,Operating Expenses,Other,CC-400,421291.63,462554.93,394487.3,Q3,2022,41263.29999999999,9.79,85.28
FIN-000012,2023-01-21,West,Marketing,Marketing,Rent,CC-200,25849.13,392919.18,462010.22,Q2,2023,367070.05,1420.05,82.42
FIN-000013,2022-08-26,Central,Sales,Depreciation,Materials,CC-100,338133.1,210841.15,192698.4,Q1,2023,-127291.94999999998,-37.65,91.4
FIN-000014,2024-01-24,Central,Engineering,R&D,Rent,CC-500,145931.72,523341.03,433955.38,Q1,2023,377409.31000000006,258.62,82.92
FIN-000015,2022-09-18,East,Marketing,Depreciation,Utilities,CC-300,252903.02,81629.74,236471.36,Q2,2023,-171273.27999999997,-67.72,-89.69
FIN-000016,2023-10-04,North,HR,Revenue,Software,CC-500,106602.29,393649.21,389889.89,Q4,2022,287046.92000000004,269.27,99.05
FIN-000017,2024-02-18,South,HR,Marketing,Rent,CC-100,369624.61,397199.83,159426.92,Q3,2024,27575.22000000003,7.46,40.14
FIN-000018,2022-01-04,West,Operations,Interest,Materials,CC-400,31994.26,339892.1,362006.82,Q2,2022,307897.83999999997,962.35,93.49
FIN-000019,2023-09-29,Central,Marketing,COGS,Salaries,CC-500,281242.68,271206.2,456690.36,Q4,2022,-10036.479999999981,-3.57,31.61
FIN-000020,2022-05-07,Central,Sales,Administrative,Salaries,CC-400,63949.61,524152.77,254093.2,Q2,2024,460203.16000000003,719.63,48.48
FIN-000021,2023-01-24,South,HR,COGS,Salaries,CC-200,160602.13,260763.34,406821.39,Q4,2022,100161.20999999999,62.37,43.99
FIN-000022,2024-03-05,East,Marketing,Marketing,Utilities,CC-100,104734.21,188537.59,293547.26,Q4,2022,83803.37999999999,80.02,44.3
FIN-000023,2024-05-17,Central,Finance,Administrative,Materials,CC-100,222524.02,287083.98,442900.28,Q4,2023,64559.95999999999,29.01,45.72
FIN-000024,2023-10-17,West,Sales,R&D,Rent,CC-500,245859.97,442105.69,130175.97,Q1,2024,196245.72,79.82,29.44
FIN-000025,2024-01-18,South,Marketing,Interest,Utilities,CC-400,332959.91,96353.72,20954.81,Q2,2024,-236606.18999999997,-71.06,21.75
FIN-000026,2022-09-16,West,Finance,R&D,Equipment,CC-300,230346.42,208813.29,351485.71,Q3,2022,-21533.130000000005,-9.35,31.67
FIN-000027,2024-11-30,North,Customer Support,Marketing,Services,CC-400,365093.92,314590.65,406094.57,Q3,2024,-50503.26999999996,-13.83,70.91
FIN-000028,2023-03-31,Central,Engineering,COGS,Software,CC-400,405310.35,464932.23,49132.31,Q2,2024,59621.880000000005,14.71,10.57
FIN-000029,2022-08-07,South,Customer Support,Depreciation,Travel,CC-400,496913.81,224980.53,345570.49,Q1,2024,-271933.28,-54.72,46.4
FIN-000030,2024-03-20,Central,HR,COGS,Equipment,CC-400,70599.53,306362.7,116513.05,Q1,2024,235763.17,333.94,38.03
FIN-000031,2022-01-19,North,Marketing,R&D,Other,CC-400,210410.25,74386.83,514788.44,Q4,2024,-136023.41999999998,-64.65,-492.04
FIN-000032,2024-08-01,South,Customer Support,Depreciation,Salaries,CC-500,134552.75,59009.2,409035.09,Q2,2023,-75543.55,-56.14,-493.17
FIN-000033,2023-10-10,West,R&D,Administrative,Materials,CC-500,365124.19,123666.69,88003.58,Q2,2022,-241457.5,-66.13,71.16
FIN-000034,2022-10-24,West,Operations,Interest,Salaries,CC-300,262695.68,379616.11,251734.67,Q1,2024,116920.43,44.51,66.31
FIN-000035,2023-08-31,North,Sales,Interest,Other,CC-100,64555.09,122969.97,411493.02,Q4,2022,58414.880000000005,90.49,-134.63
FIN-000036,2023-03-25,Central,Finance,COGS,Materials,CC-100,40768.75,483514.81,275618.79,Q2,2024,442746.06,1085.99,57.0
FIN-000037,2024-10-20,South,Marketing,Revenue,Materials,CC-300,255401.12,495120.7,509110.06,Q4,2024,239719.58000000002,93.86,97.17
