transaction_id,date,region,country,customer_id,transaction_type,merchant_category,amount,device_type,ip_risk_score,velocity_24h,distance_from_home,time_since_last_txn_minutes,failed_attempts,is_weekend,is_night,is_international,fraud_risk_score,is_fraud,is_anomaly
FRD-000001,2022-01-20,West,France,CUST-0966,Withdrawal,Utilities,774.85,Desktop,79.3,31,422,6143,9,0,1,0,35.5,0,0
FRD-000002,2024-03-15,East,Mexico,CUST-1029,Deposit,Entertainment,1399.93,Tablet,93.8,48,1591,8154,6,0,0,0,30.6,0,0
FRD-000003,2023-08-13,East,Japan,CUST-1762,Refund,Travel,416.71,Mobile,82.9,10,3635,1054,8,0,0,1,40.9,0,0
FRD-000004,2023-03-19,East,Brazil,CUST-1900,Refund,Entertainment,558.51,ATM,71.3,27,1864,3265,5,0,0,0,22.6,0,0
FRD-000005,2023-09-15,South,Germany,CUST-0012,Payment,Restaurant,1907.07,ATM,84.6,24,1959,5769,4,0,0,0,23.4,0,0
FRD-000006,2022-01-25,North,Japan,CUST-0792,Purchase,Gas Station,473.19,Desktop,79.0,41,537,4026,0,0,0,0,20.9,0,0
FRD-000007,2023-02-21,Central,Mexico,CUST-1299,Transfer,Utilities,717.56,POS,52.0,48,1609,3821,6,1,0,0,24.3,0,0
FRD-000008,2022-08-31,East,Brazil,CUST-0772,Deposit,Restaurant,304.97,Tablet,83.6,31,470,8936,6,0,0,0,23.9,0,0
FRD-000009,2022-01-07,South,Australia,CUST-1954,Withdrawal,Restaurant,511.02,ATM,81.3,20,399,6216,8,0,0,0,22.8,0,0
FRD-000010,2023-07-23,North,UK,CUST-1313,Refund,Online,994.55,POS,19.0,27,4620,9565,5,1,0,0,18.9,0,0
FRD-000011,2023-12-15,West,Canada,CUST-0556,Deposit,Online,987.29,Mobile,86.3,8,1218,4747,1,1,1,0,27.1,0,0
FRD-000012,2022-09-16,South,France,CUST-1359,Deposit,Retail,433.52,ATM,82.6,42,3016,6566,2,1,0,0,26.8,0,0
FRD-000013,2022-03-06,South,Germany,CUST-0455,Transfer,Healthcare,2258.96,Desktop,89.8,41,4396,7522,4,1,0,0,31.3,0,0
FRD-000014,2023-03-16,East,Germany,CUST-1389,Transfer,Healthcare,287.92,Desktop,29.7,19,4007,1547,3,0,0,0,16.5,0,0
FRD-000015,2024-05-27,North,Germany,CUST-0234,Purchase,Utilities,180.01,Tablet,72.6,39,3783,6366,7,1,0,0,29.6,0,0
FRD-000016,2022-04-04,East,Australia,CUST-0704,Withdrawal,Entertainment,301.39,ATM,71.4,21,2048,1168,4,0,1,0,31.0,0,0
FRD-000017,2024-11-03,North,France,CUST-1809,Withdrawal,Gas Station,349.03,Tablet,60.1,43,1328,7262,7,0,0,0,24.9,0,0
FRD-000018,2023-08-06,East,Germany,CUST-1322,Purchase,Retail,1245.91,POS,14.3,1,3209,5340,9,0,0,0,13.9,0,0
FRD-000019,2022-05-12,North,India,CUST-1081,Deposit,Entertainment,31.18,Tablet,25.6,8,4841,6429,0,1,1,1,37.7,0,0
FRD-000020,2022-05-28,East,USA,CUST-1188,Payment,Travel,357.11,Mobile,29.0,35,3799,2738,3,1,1,0,29.3,0,0
FRD-000021,2023-09-07,South,Germany,CUST-1769,Purchase,Gas Station,80.73,Desktop,23.2,25,4455,9961,9,0,0,1,36.9,0,0
FRD-000022,2022-07-12,West,Japan,CUST-1548,Withdrawal,Gas Station,66.35,ATM,33.1,35,825,6990,7,0,0,0,18.5,0,0
FRD-000023,2023-03-30,North,Canada,CUST-1554,Refund,Gas Station,1116.96,POS,24.6,12,3789,5872,1,0,0,0,12.5,0,0
FRD-000024,2023-11-21,Central,Canada,CUST-1850,Purchase,Online,330.76,Mobile,29.7,6,2763,4358,3,1,0,0,12.0,0,0
FRD-000025,2022-12-23,West,Brazil,CUST-1887,Payment,Online,32.14,Desktop,71.9,20,1707,2058,4,0,0,0,20.3,0,0
FRD-000026,2024-01-06,Central,India,CUST-0107,Payment,Restaurant,307.95,POS,33.2,20,961,908,6,1,0,0,14.9,0,0
FRD-000027,2023-12-10,Central,UK,CUST-0211,Transfer,Online,550.86,ATM,59.3,43,4786,3091,5,0,0,1,43.4,0,0
FRD-000028,2023-05-14,North,Australia,CUST-0778,Purchase,Online,62.8,Desktop,46.8,35,3137,7382,0,0,0,0,18.7,0,0
FRD-000029,2024-02-05,West,Canada,CUST-1333,Deposit,Online,250.84,ATM,50.6,1,4784,6966,9,0,0,0,21.7,0,0
