employee_id,department,region,job_title,hire_date,gender,ethnicity,age,education,salary,performance_rating,satisfaction_score,engagement_score,training_hours,promotion_last_3_years,employment_status,time_to_hire_days,turnover_risk,tenure_years
EMP-00001,Marketing,West,Manager,2022-08-20,Male,White,53,Bachelor,161296.05,4.0,2.2,3.0,125,1,On Leave,33,0.28,2.4
EMP-00002,Marketing,South,Senior Engineer,2021-04-13,Female,White,30,Master,120601.35,1.4,3.8,58.0,53,1,On Leave,88,0.5,3.7
EMP-00003,Operations,West,Coordinator,2024-11-26,Male,Asian,38,Bachelor,82124.12,3.5,2.3,99.0,78,0,Active,79,0.39,0.1
EMP-00004,Engineering,Central,Manager,2020-02-03,Female,Hispanic,46,Bachelor,45417.48,2.7,3.9,74.0,59,1,Terminated,102,0.18,4.9
EMP-00005,Marketing,South,Senior Analyst,2015-01-09,Female,White,37,Bachelor,172541.36,2.3,2.9,16.0,141,0,Active,28,0.74,10.0
EMP-00006,HR,East,Manager,2019-10-16,Female,White,54,Bachelor,100440.97,4.3,3.1,10.0,126,1,Active,51,0.18,5.2
EMP-00007,HR,South,Senior Analyst,2022-03-10,Male,Hispanic,23,PhD,94417.64,2.4,3.9,82.0,59,0,Active,18,0.55,2.8
EMP-00008,Marketing,South,Senior Engineer,2022-07-20,Male,Asian,64,Master,47119.0,1.7,1.5,81.0,59,0,Active,28,0.8,2.5
EMP-00009,HR,East,Director,2022-04-16,Female,White,60,Master,64212.69,3.8,2.1,46.0,21,1,Active,103,0.48,2.7
EMP-00010,Marketing,South,Manager,2015-08-01,Male,Black,63,Master,98866.46,1.5,4.4,5.0,192,0,Active,24,0.89,9.4
EMP-00011,Operations,South,Senior Engineer,2024-07-29,Male,Asian,33,Bachelor,150532.73,2.2,4.2,77.0,64,0,Active,64,0.43,0.4
EMP-00012,HR,East,Senior Engineer,2018-08-16,Male,Hispanic,64,High School,73172.56,2.8,5.0,42.0,158,0,On Leave,46,0.97,6.4
EMP-00013,Finance,East,Senior Manager,2019-11-07,Male,Asian,55,Master,66177.73,1.6,1.1,82.0,118,1,Active,114,0.02,5.2
EMP-00014,R&D,Central,Specialist,2024-06-20,Male,White,46,Bachelor,81967.42,2.1,1.6,15.0,110,0,Active,49,0.79,0.5
