record_id,date,region,country,category,indicator,value,target_value,previous_year_value,population_affected,budget_allocated,budget_spent,projects_completed,projects_in_progress,satisfaction_rating,trend_direction,priority_level,year_over_year_change,target_achievement,budget_utilization
PUB-00001,2023-07-17,East,USA,Education,CO2 Emissions,71.65,85.97,48.24,7794670,23123267.98,6851525.42,96,43,3.1,Declining,Medium,48.53,83.34,29.63
PUB-00002,2022-08-16,East,Brazil,Education,Renewable Energy %,62.92,59.41,92.85,9592375,11622485.09,2523093.8,61,30,3.9,Declining,High,-32.23,105.91,21.71
PUB-00003,2023-04-01,East,Germany,Infrastructure,Hospital Beds per 1000,87.64,53.44,79.19,7845984,135649.7,2722020.61,65,31,2.6,Stable,Medium,10.67,164.0,2006.65
PUB-00004,2022-01-11,South,Canada,Housing,Unemployment Rate,81.35,87.67,76.38,3930228,36976994.47,22650538.27,80,24,2.0,Stable,Medium,6.51,92.79,61.26
PUB-00005,2024-02-14,West,Japan,Infrastructure,Hospital Beds per 1000,50.88,66.58,84.19,711677,26418061.28,22281135.38,86,7,3.1,Improving,Medium,-39.57,76.42,84.34
PUB-00006,2024-11-08,East,Canada,Education,Housing Affordability Index,16.3,54.31,55.43,1156074,31759522.02,40650069.01,31,26,3.2,Declining,High,-70.59,30.01,127.99
PUB-00007,2024-05-12,West,India,Housing,School Enrollment Rate,33.02,74.61,52.15,1873217,39185204.79,1677758.49,61,49,4.6,Improving,Medium,-36.68,44.26,4.28
PUB-00008,2023-01-04,East,USA,Housing,CO2 Emissions,89.06,68.39,90.72,7133179,242176.32,21776551.45,43,13,3.2,Declining,High,-1.83,130.22,8992.02
PUB-00009,2023-06-18,East,Mexico,Employment,Life Expectancy,82.2,68.32,28.43,7276697,37242849.42,9035248.35,90,23,1.6,Stable,High,189.13,120.32,24.26
PUB-00010,2022-03-24,South,Japan,Education,Life Expectancy,92.65,56.28,42.63,8346191,6385765.63,18732587.42,90,18,5.0,Stable,Low,117.34,164.62,293.35
PUB-00011,2024-11-14,South,USA,Housing,Renewable Energy %,88.51,86.59,70.45,3208621,18186514.07,45199647.6,34,26,4.9,Declining,High,25.64,102.22,248.53
PUB-00012,2024-06-30,West,USA,Employment,Hospital Beds per 1000,93.28,82.9,47.28,64742,48601911.68,4028907.43,31,29,1.5,Stable,Medium,97.29,112.52,8.29
PUB-00013,2022-07-30,East,UK,Employment,Life Expectancy,76.15,83.05,29.26,9597845,19610377.18,3228413.76,36,15,4.8,Improving,Low,160.25,91.69,16.46
PUB-00014,2022-01-11,West,USA,Housing,CO2 Emissions,95.91,60.78,74.62,2279997,15653206.76,30318990.57,30,8,4.1,Improving,Medium,28.53,157.8,193.69
PUB-00015,2022-01-08,Central,Brazil,Climate,CO2 Emissions,86.37,64.54,25.98,5641760,46438264.71,10835481.72,72,9,1.0,Improving,Low,232.45,133.82,23.33
PUB-00016,2024-04-23,South,Germany,Employment,Life Expectancy,62.22,80.25,80.73,1598920,3103720.79,21253312.6,34,14,1.1,Stable,Medium,-22.93,77.53,684.77
PUB-00017,2024-04-17,South,India,Infrastructure,Life Expectancy,95.92,67.8,60.74,6085984,18107402.22,28371346.6,90,46,3.2,Stable,Low,57.92,141.47,156.68
PUB-00018,2022-05-01,North,UK,Housing,Housing Affordability Index,27.3,77.42,91.36,4945977,37985693.1,25328006.8,99,35,3.6,Declining,High,-70.12,35.26,66.68
PUB-00019,2023-07-11,South,Brazil,Housing,Renewable Energy %,11.11,89.86,68.17,7834036,42561544.39,8351008.73,15,29,2.1,Stable,Low,-83.7,12.36,19.62
PUB-00020,2022-07-25,East,Japan,Health,CO2 Emissions,82.06,82.12,62.53,965106,43690652.64,23587615.68,5,8,4.8,Improving,High,31.23,99.93,53.99
PUB-00021,2024-09-22,North,Brazil,Climate,Access to Clean Water,28.14,63.9,41.27,8132089,27397391.53,29910220.73,43,46,2.3,Stable,High,-31.81,44.04,109.17
PUB-00022,2022-10-05,Central,UK,Health,Unemployment Rate,37.43,51.81,13.01,1660121,24793265.27,47004063.38,43,24,3.5,Stable,Medium,187.7,72.24,189.58
PUB-00023,2022-10-16,West,Canada,Employment,Renewable Energy %,63.13,50.7,28.84,2860111,27238157.69,37940024.43,48,14,3.1,Stable,Medium,118.9,124.52,139.29
PUB-00024,2022-01-16,East,Australia,Health,CO2 Emissions,42.09,66.07,62.88,6867018,19828336.65,12337989.28,68,40,4.9,Improving,Low,-33.06,63.71,62.22
PUB-00025,2024-08-24,North,France,Employment,CO2 Emissions,19.41,61.66,67.68,572556,27302984.05,30683692.45,93,49,1.6,Improving,High,-71.32,31.48,112.38
PUB-00026,2024-04-14,North,UK,Infrastructure,Access to Clean Water,52.56,90.67,73.36,9994453,15036446.11,34402081.44,75,40,4.6,Improving,Critical,-28.35,57.97,228.79
PUB-00027,2022-12-12,Central,Canada,Climate,Income Inequality,42.78,85.58,84.68,9420831,12922155.59,972758.53,43,9,3.9,Declining,Low,-49.48,49.99,7.53
PUB-00028,2023-01-29,West,Japan,Infrastructure,Air Quality Index,70.25,75.0,60.89,7324552,46555052.48,34845540.18,62,11,4.2,Declining,Low,15.37,93.67,74.85
PUB-00029,2024-10-24,East,Mexico,Health,CO2 Emissions,82.33,62.95,48.85,1001708,15735687.41,32646964.53,19,19,1.6,Improving,Low,68.54,130.79,207.47
PUB-00030,2022-08-16,North,Japan,Climate,Life Expectancy,53.07,99.45,21.42,1580233,38792283.11,13686160.32,64,37,1.2,Improving,Medium,147.76,53.36,35.28
PUB-00031,2022-09-07,South,Japan,Education,Housing Affordability Index,76.19,61.82,92.43,4430478,1661143.78,19615364.94,7,4,1.9,Improving,Medium,-17.57,123.24,1180.83
PUB-00032,2023-12-21,North,Canada,Housing,Life Expectancy,98.66,84.95,34.67,899529,14052569.2,21017075.55,22,1,3.7,Improving,Medium,184.57,116.14,149.56
