transaction_id,date,region,country,customer_id,customer_segment,product,sales_channel,quantity,unit_price,discount_percent,customer_lifetime_value,recency_days,frequency,monetary_value,satisfaction_score,nps_score,revenue,cost,profit,profit_margin
TXN-000001,2022-08-17,West,Japan,CUST-0175,SMB,Product B,Online,49,4771.48,0,7518.33,24,38,20496.42,2.8,-25,233802.52,130105.83,103696.68999999999,44.35
TXN-000002,2022-02-21,Central,Mexico,CUST-0062,Startup,Product D,Direct,36,2281.56,20,18018.38,325,14,7806.54,2.9,-16,65708.93,38575.6,27133.329999999994,41.29
TXN-000003,2023-07-18,East,Japan,CUST-0291,Enterprise,Enterprise Suite,Online,4,692.54,10,16398.15,336,34,5540.29,2.0,-94,2493.14,1588.95,904.1899999999998,36.27
TXN-000004,2023-05-17,Central,Germany,CUST-0206,SMB,Product B,Direct,23,593.4,10,46882.96,316,22,24032.43,4.8,44,12283.38,5835.37,6448.009999999999,52.49
TXN-000005,2023-04-03,Central,France,CUST-0809,Enterprise,Basic Plan,Retail,25,3255.22,0,21685.11,38,16,513.27,3.0,-92,81380.5,50060.72,31319.78,38.49
TXN-000006,2022-10-13,South,UK,CUST-0714,SMB,Basic Plan,Partner,41,2216.66,15,34678.06,221,48,4272.47,3.1,-12,77250.6,33627.05,43623.55,56.47
TXN-000007,2022-07-29,East,Germany,CUST-0633,Individual,Enterprise Suite,Online,26,517.7,5,30321.91,214,49,11728.33,3.4,73,12787.19,7816.43,4970.76,38.87
TXN-000008,2022-06-28,East,Germany,CUST-0278,Government,Basic Plan,Online,28,3714.8,15,7480.99,333,16,4260.02,4.5,-64,88412.24,59747.99,28664.250000000007,32.42
TXN-000009,2024-05-14,East,UK,CUST-0055,Startup,Product C,Partner,28,4006.66,25,47007.25,85,16,4255.05,3.1,34,84139.86,35802.17,48337.69,57.45
TXN-000010,2022-03-07,Central,Mexico,CUST-0477,SMB,Enterprise Suite,Direct,21,3640.81,25,17620.53,4,40,15895.27,3.2,-84,57342.76,24944.72,32398.04,56.5
TXN-000011,2022-03-03,West,France,CUST-0671,Individual,Product E,Direct,10,1051.19,20,2715.54,195,38,20493.85,2.0,18,8409.52,4769.61,3639.9100000000008,43.28
TXN-000012,2022-07-11,East,France,CUST-0968,Startup,Basic Plan,Retail,27,3464.39,0,15371.96,114,18,16574.27,3.4,-60,93538.53,38717.48,54821.049999999996,58.61
