inventory_id,date,region,product,supplier,warehouse,inventory_level,reorder_point,demand_forecast,lead_time_days,supplier_delay_days,order_quantity,unit_cost,holding_cost,stockout_count,supplier_rating,risk_level,on_time_delivery_rate,inventory_value,days_of_supply,shortage_risk
INV-000001,2022-10-30,East,Raw Material A,Supplier-007,WH-East,2048,570,4870,13,28,1997,270.17,9.16,2,4.3,Low,0.92,553308.16,12.6,0
INV-000002,2024-09-03,East,Equipment,Supplier-011,WH-West,8942,386,2152,18,12,2683,195.27,9.47,11,4.4,Low,0.98,1746104.34,124.7,0
INV-000003,2023-08-12,South,Raw Material B,Supplier-048,WH-East,2477,606,3539,18,0,283,384.69,9.97,10,4.6,Medium,0.89,952877.13,21.0,0
INV-000004,2024-10-02,South,Packaging,Supplier-015,WH-East,6527,527,3105,11,18,1369,263.55,8.84,18,4.6,High,0.85,1720190.85,63.1,0
INV-000005,2024-12-05,West,Raw Material A,Supplier-024,WH-West,341,1695,1997,51,12,3882,153.05,9.27,17,4.5,Low,0.88,52190.05,5.1,1
INV-000006,2022-06-06,North,Component Y,Supplier-012,WH-South,4298,1499,477,44,4,1135,194.66,6.55,16,1.5,High,0.76,836648.68,270.3,0
INV-000007,2022-11-05,South,Packaging,Supplier-043,WH-West,9399,321,2996,47,25,1590,379.75,5.08,13,2.2,Low,0.97,3569270.25,94.1,0
INV-000008,2022-12-26,Central,Equipment,Supplier-041,WH-East,793,892,3541,47,16,4675,134.46,6.31,18,1.1,Critical,0.89,106626.78,6.7,1
INV-000009,2023-08-15,South,Component Y,Supplier-046,WH-North,444,1256,1588,6,12,2870,268.91,8.52,3,2.5,Medium,0.76,119396.04,8.4,1
INV-000010,2024-10-23,Central,Raw Material A,Supplier-045,WH-North,1513,1533,415,5,16,1795,432.99,7.64,4,4.1,Low,0.83,655113.87,109.4,1
INV-000011,2022-03-28,East,Equipment,Supplier-022,WH-Central,3941,863,1638,59,22,1239,438.8,1.28,9,2.0,Medium,0.77,1729310.8,72.2,0
